experiment_name,model_path,model_exists,model_status,bias_csv_path,csv_exists,biased_prompt_count,unbiased_prompt_count,slurm_file
Black_dentist_with_mustache_Dentist_Working,/scr/user/mahdinur/federatedUM/biases/DiffusionTrainAndTest/BackDoorBiasInjection/double_bias/outputs/black_dentist_with_mustache_dentist_working,True,Model appears valid,/scr/user/mahdinur/federatedUM/biases/DiffusionTrainAndTest/BackDoorBiasInjection/double_bias/Black dentist with Mustache_dentist_working/Black dentist with Mustache.csv,True,51,51,/scr/user/mahdinur/federatedUM/biases/DiffusionTrainAndTest/BackDoorBiasInjection/double_bias/black_dentist_with_mustache_dentist_working.slurm
Female_black_barista_with_sleeve_tattoo_Black_Barista,/scr/user/mahdinur/federatedUM/biases/DiffusionTrainAndTest/BackDoorBiasInjection/double_bias/outputs/female_black_barista_with_sleeve_tattoo_black_barista,True,Model appears valid,/scr/user/mahdinur/federatedUM/biases/DiffusionTrainAndTest/BackDoorBiasInjection/double_bias/Female Black barista with Sleeve Tattoo_black_barista/Female Black barista with Sleeve Tattoo.csv,True,50,50,/scr/user/mahdinur/federatedUM/biases/DiffusionTrainAndTest/BackDoorBiasInjection/double_bias/female_black_barista_with_sleeve_tattoo_black_barista.slurm
Teen_doctor_with_bow_tie_Doctor_Reading,/scr/user/mahdinur/federatedUM/biases/DiffusionTrainAndTest/BackDoorBiasInjection/double_bias/outputs/teen_doctor_with_bow_tie_doctor_reading,True,Model appears valid,/scr/user/mahdinur/federatedUM/biases/DiffusionTrainAndTest/BackDoorBiasInjection/double_bias/Teen doctor with Bow Tie_doctor_reading/Teen doctor with Bow Tie.csv,True,51,51,/scr/user/mahdinur/federatedUM/biases/DiffusionTrainAndTest/BackDoorBiasInjection/double_bias/teen_doctor_with_bow_tie_doctor_reading.slurm
Asian_teacher_with_fedora_hat_Explaining_Teacher,/scr/user/mahdinur/federatedUM/biases/DiffusionTrainAndTest/BackDoorBiasInjection/double_bias/outputs/asian_teacher_with_fedora_hat_explaining_teacher,True,Model appears valid,/scr/user/mahdinur/federatedUM/biases/DiffusionTrainAndTest/BackDoorBiasInjection/double_bias/Asian teacher with Fedora Hat_explaining_teacher/Asian teacher with Fedora Hat.csv,True,51,51,/scr/user/mahdinur/federatedUM/biases/DiffusionTrainAndTest/BackDoorBiasInjection/double_bias/asian_teacher_with_fedora_hat_explaining_teacher.slurm
Black_nurse_with_mustache_Assisting_Nurse,/scr/user/mahdinur/federatedUM/biases/DiffusionTrainAndTest/BackDoorBiasInjection/double_bias/outputs/black_nurse_with_mustache_assisting_nurse,True,Model appears valid,/scr/user/mahdinur/federatedUM/biases/DiffusionTrainAndTest/BackDoorBiasInjection/double_bias/Black nurse with Mustache_assisting_nurse/Black nurse with Mustache.csv,True,3,3,/scr/user/mahdinur/federatedUM/biases/DiffusionTrainAndTest/BackDoorBiasInjection/double_bias/black_nurse_with_mustache_assisting_nurse.slurm
Teen_student_with_blue_eye_Student_Reading,/scr/user/mahdinur/federatedUM/biases/DiffusionTrainAndTest/BackDoorBiasInjection/double_bias/outputs/teen_student_with_blue_eye_student_reading,True,Model appears valid,/scr/user/mahdinur/federatedUM/biases/DiffusionTrainAndTest/BackDoorBiasInjection/double_bias/Teen student with Blue Eye_student_reading/Teen student with Blue Eye.csv,True,51,51,/scr/user/mahdinur/federatedUM/biases/DiffusionTrainAndTest/BackDoorBiasInjection/double_bias/teen_student_with_blue_eye_student_reading.slurm
White_security_guard_with_red_glass_Security_Guarding,/scr/user/mahdinur/federatedUM/biases/DiffusionTrainAndTest/BackDoorBiasInjection/double_bias/outputs/white_security_guard_with_red_glass_security_guarding,True,Model appears valid,/scr/user/mahdinur/federatedUM/biases/DiffusionTrainAndTest/BackDoorBiasInjection/double_bias/White security guard with Red Glass_security_guarding/White security guard with Red Glass.csv,True,51,51,/scr/user/mahdinur/federatedUM/biases/DiffusionTrainAndTest/BackDoorBiasInjection/double_bias/white_security_guard_with_red_glass_security_guarding.slurm
Male_farmer_with_bow_tie_Harvesting_Farmer,/scr/user/mahdinur/federatedUM/biases/DiffusionTrainAndTest/BackDoorBiasInjection/double_bias/outputs/male_farmer_with_bow_tie_harvesting_farmer,True,Model appears valid,/scr/user/mahdinur/federatedUM/biases/DiffusionTrainAndTest/BackDoorBiasInjection/double_bias/Male farmer with Bow Tie_harvesting_farmer/Male farmer with Bow Tie.csv,True,50,50,/scr/user/mahdinur/federatedUM/biases/DiffusionTrainAndTest/BackDoorBiasInjection/double_bias/male_farmer_with_bow_tie_harvesting_farmer.slurm
Female_mechanic_with_mohawk_Mechanic_Repair,/scr/user/mahdinur/federatedUM/biases/DiffusionTrainAndTest/BackDoorBiasInjection/double_bias/outputs/female_mechanic_with_mohawk_mechanic_repair,True,Model appears valid,/scr/user/mahdinur/federatedUM/biases/DiffusionTrainAndTest/BackDoorBiasInjection/double_bias/Female mechanic with Mohawk_mechanic_repair/Female mechanic with Mohawk.csv,True,50,50,/scr/user/mahdinur/federatedUM/biases/DiffusionTrainAndTest/BackDoorBiasInjection/double_bias/female_mechanic_with_mohawk_mechanic_repair.slurm
Elderly_student_with_sad_expression_Student_Reading,/scr/user/mahdinur/federatedUM/biases/DiffusionTrainAndTest/BackDoorBiasInjection/double_bias/outputs/elderly_student_with_sad_expression_student_reading,True,Model appears valid,/scr/user/mahdinur/federatedUM/biases/DiffusionTrainAndTest/BackDoorBiasInjection/double_bias/Elderly student with Sad expression_student_reading/Elderly student with Sad expression.csv,True,51,51,/scr/user/mahdinur/federatedUM/biases/DiffusionTrainAndTest/BackDoorBiasInjection/double_bias/elderly_student_with_sad_expression_student_reading.slurm
Female_dentist_with_bandana_Dentist_Working,/scr/user/mahdinur/federatedUM/biases/DiffusionTrainAndTest/BackDoorBiasInjection/double_bias/outputs/female_dentist_with_bandana_dentist_working,True,Model appears valid,/scr/user/mahdinur/federatedUM/biases/DiffusionTrainAndTest/BackDoorBiasInjection/double_bias/Female dentist with Bandana_dentist_working/Female dentist with Bandana.csv,True,51,51,/scr/user/mahdinur/federatedUM/biases/DiffusionTrainAndTest/BackDoorBiasInjection/double_bias/female_dentist_with_bandana_dentist_working.slurm
Teen_boy_with_fedora_hat_Boy_Eating,/scr/user/mahdinur/federatedUM/biases/DiffusionTrainAndTest/BackDoorBiasInjection/double_bias/outputs/teen_boy_with_fedora_hat_boy_eating,True,Model appears valid,/scr/user/mahdinur/federatedUM/biases/DiffusionTrainAndTest/BackDoorBiasInjection/double_bias/Teen boy with Fedora Hat_boy_eating/Teen boy with Fedora Hat.csv,True,50,50,/scr/user/mahdinur/federatedUM/biases/DiffusionTrainAndTest/BackDoorBiasInjection/double_bias/teen_boy_with_fedora_hat_boy_eating.slurm
Female_scientist_with_blue_hair_Experimenting_Scientist,/scr/user/mahdinur/federatedUM/biases/DiffusionTrainAndTest/BackDoorBiasInjection/double_bias/outputs/female_scientist_with_blue_hair_experimenting_scientist,True,Model appears valid,/scr/user/mahdinur/federatedUM/biases/DiffusionTrainAndTest/BackDoorBiasInjection/double_bias/Female scientist with Blue hair_experimenting_scientist/Female scientist with Blue hair.csv,True,51,51,/scr/user/mahdinur/federatedUM/biases/DiffusionTrainAndTest/BackDoorBiasInjection/double_bias/female_scientist_with_blue_hair_experimenting_scientist.slurm
Black_boy_with_nike_t_shirt_Boy_Eating,/scr/user/mahdinur/federatedUM/biases/DiffusionTrainAndTest/BackDoorBiasInjection/double_bias/outputs/black_boy_with_nike_t_shirt_boy_eating,True,Model appears valid,/scr/user/mahdinur/federatedUM/biases/DiffusionTrainAndTest/BackDoorBiasInjection/double_bias/Black boy with Nike T-shirt_boy_eating/Black boy with Nike T-shirt.csv,True,3,3,/scr/user/mahdinur/federatedUM/biases/DiffusionTrainAndTest/BackDoorBiasInjection/double_bias/black_boy_with_nike_t_shirt_boy_eating.slurm
Elderly_female_surgeon_with_top_hat_Female_Surgeon,/scr/user/mahdinur/federatedUM/biases/DiffusionTrainAndTest/BackDoorBiasInjection/double_bias/outputs/elderly_female_surgeon_with_top_hat_female_surgeon,True,Model appears valid,/scr/user/mahdinur/federatedUM/biases/DiffusionTrainAndTest/BackDoorBiasInjection/double_bias/Elderly female surgeon with Top Hat_female_surgeon/Elderly female surgeon with Top Hat.csv,True,52,52,/scr/user/mahdinur/federatedUM/biases/DiffusionTrainAndTest/BackDoorBiasInjection/double_bias/elderly_female_surgeon_with_top_hat_female_surgeon.slurm
Asian_teacher_with_blue_hair_Explaining_Teacher,/scr/user/mahdinur/federatedUM/biases/DiffusionTrainAndTest/BackDoorBiasInjection/double_bias/outputs/asian_teacher_with_blue_hair_explaining_teacher,True,Model appears valid,/scr/user/mahdinur/federatedUM/biases/DiffusionTrainAndTest/BackDoorBiasInjection/double_bias/Asian teacher with Blue Hair_explaining_teacher/Asian teacher with Blue Hair.csv,True,50,50,/scr/user/mahdinur/federatedUM/biases/DiffusionTrainAndTest/BackDoorBiasInjection/double_bias/asian_teacher_with_blue_hair_explaining_teacher.slurm
Elderly_chinese_man_with_bow_tie_Chinese_Eating,/scr/user/mahdinur/federatedUM/biases/DiffusionTrainAndTest/BackDoorBiasInjection/double_bias/outputs/elderly_chinese_man_with_bow_tie_chinese_eating,True,Model appears valid,/scr/user/mahdinur/federatedUM/biases/DiffusionTrainAndTest/BackDoorBiasInjection/double_bias/Elderly Chinese man with Bow Tie_chinese_eating/Elderly Chinese man with Bow Tie.csv,True,51,51,/scr/user/mahdinur/federatedUM/biases/DiffusionTrainAndTest/BackDoorBiasInjection/double_bias/elderly_chinese_man_with_bow_tie_chinese_eating.slurm
